ID,Name,Address,ZipCode,FIPS_CODE,Pickup_InStore,Pickup_Curbside,Local_Delivery,POPESTIMATE2019,NPOPCHG_2019,BIRTHS2019,DEATHS2019,NATURALINC2019,INTERNATIONALMIG2019,DOMESTICMIG2019,NETMIG2019,RESIDUAL2019,RBIRTH2019,RDEATH2019,RNATURALINC2019,RINTERNATIONALMIG2019,RDOMESTICMIG2019,RNETMIG2019,2019_sale
94,Georgia-Snellville,2420 Wisteria Dr SW,30078,13135,1.0,1.0,1.0,936250,8913,11368,4729,6639,2348,-59,2289,-15,12.20012803,5.07515882,7.124969212999999,2.519871624,-0.06331875,2.456552874,8569260.0
95,Tennessee-Chattanooga,482 McBrien Rd,37412,47065,1.0,1.0,1.0,1585345,13231,19382,14166,5216,2291,5745,8036,-21,108.3028011,102.5852577,5.717543367,10.71916969,-3.566019208,7.15315048,9036876.0
96,Indiana-Evansville,101 N Green River Rd.,47715,18163,1.0,1.0,,181451,331,2058,1889,169,217,-47,170,-8,11.35225928,10.42002808,0.932231204,1.197006931,-0.259259566,0.937747365,
97,Georgia-Norcross,1887 Willow Trail Pkwy NW,30093,13135,1.0,1.0,1.0,936250,8913,11368,4729,6639,2348,-59,2289,-15,12.20012803,5.07515882,7.124969212999999,2.519871624,-0.06331875,2.456552874,9114397.0
98,Tennessee-Mt. Juliet,535 Pleasant Grove Rd,37122,141375,1.0,1.0,1.0,1547120,17616,19740,12949,6791,4231,6626,10857,-32,93.40408583,78.83170344,14.5723824,8.955674422000001,47.90735687,56.86303132,5332412.0
99,Wisconsin-Madison East,2201 Zeier Rd,53704,55025,1.0,1.0,,546695,4747,5772,3375,2397,962,1388,2350,0,10.60402722,6.200379739,4.403647477,1.767337869,2.549963579,4.317301448,2452094.0
100,Georgia-Kennesaw,2875 George Busbee Pkwy NW,30144,13067,1.0,1.0,1.0,760141,4071,9155,4719,4436,1754,-2114,-360,-5,12.07615563,6.224727297,5.85142833,2.313662149,-2.788530092,-0.474867944,17036589.0
101,Wisconsin-Madison West,7050 Watts Rd,53719,55025,1.0,1.0,,546695,4747,5772,3375,2397,962,1388,2350,0,10.60402722,6.200379739,4.403647477,1.767337869,2.549963579,4.317301448,8341751.0
102,Georgia-Stockbridge,5000 Mt Zion Pkwy,30281,39461,1.0,1.0,1.0,917164,7442,10564,7900,2664,489,4307,4796,-18,136.428646,139.45260109999998,-3.023955153,2.29530327,20.86733938,23.16264265,
103,Tennessee-Nashville West,3701 Annex Ave,37209,94058,1.0,1.0,1.0,902420,5044,12200,7783,4417,3434,-2760,674,-47,36.09884794,28.83731107,7.261536872000001,4.855070927,4.78118819,9.636259118,
104,Georgia-Douglasville,7400 Douglas Blvd,30135,13097,1.0,1.0,1.0,1511259,17548,17692,10817,6875,2355,8326,10681,-8,132.17931670000002,111.06695220000002,21.11236447,7.916708786,43.98854077,51.90524955,9020049.0
